LabelID,LabelAbrv,LabelName,ParentID,IDPath,RegionalName,Count,Volume(mm^3)
672,RCP,Right Caudoputamen,485,/997/8/567/623/477/485/672/,Right Cerebral nuclei,1165,9.539
153,RV4r,Right lateral recess,145,/997/73/145/153/,Right ventricular systems,950,0.255
507,RMOB,Right Main olfactory bulb,698,/997/8/567/688/695/698/507/,Right Cerebral cortex,845,6.001
1017,RAN,Right Ansiform lobule,1073,/997/8/512/528/1073/1017/,Right Cerebellum,798,3.377
453,RSS,Right Somatosensory areas,315,/997/8/567/688/695/315/453/,Right Cerebral cortex,762,7.848
968,RNOD,Right Nodulus (X),645,/997/8/512/528/645/968/,Right Cerebellum,695,0.522
354,RMY,Right Medulla,1065,/997/8/343/1065/354/,Right Medulla,694,2.985
771,RP,Right Pons,1065,/997/8/343/1065/771/,Right Pons,680,1.94
1009,Rfiber tracts,Right fiber tracts,997,/997/1009/,Right fiber tracts,641,1.035
1025,RPRM,Right Paramedian lobule,1073,/997/8/512/528/1073/1025/,Right Cerebellum,634,1.51
31,RACA,Right Anterior cingulate area,315,/997/8/567/688/695/315/31/,Right Cerebral cortex,621,1.875
822,RRHP,Right Retrohippocampal region,1089,/997/8/567/688/695/1089/822/,Right Cerebral cortex,609,5.538
254,RRSP,Right Retrosplenial area,315,/997/8/567/688/695/315/254/,Right Cerebral cortex,599,2.966
776,Rcc,Right corpus callosum,983,/997/1009/983/776/,Right fiber tracts,583,3.448
795,RPAG,Right Periaqueductal gray,323,/997/8/343/313/323/795/,Right Midbrain,551,1.39
500,RMO,Right Somatomotor areas,315,/997/8/567/688/695/315/500/,Right Cerebral cortex,507,9.62
313,RMB,Right Midbrain,343,/997/8/343/313/,Right Midbrain,489,1.682
307,RMARN,Right Magnocellular reticular nucleus,370,/997/8/343/1065/354/370/307/,Right Medulla,480,0.297
938,RPGRN,Right Paragigantocellular reticular nucleus,370,/997/8/343/1065/354/370/938/,Right Medulla,451,0.281
936,RDEC,Right Declive (VI),645,/997/8/512/528/645/936/,Right Cerebellum,437,1.146
1093,RPRNc,Right Pontine reticular nucleus caudal part,987,/997/8/343/1065/771/987/1093/,Right Pons,412,1.068
1041,RPFL,Right Paraflocculus,1073,/997/8/512/528/1073/1041/,Right Cerebellum,395,1.806
301,Rst,Right stria terminalis,768,/997/1009/991/768/301/,Right fiber tracts,392,0.263
1033,RCOPY,Right Copula pyramidis,1073,/997/8/512/528/1073/1033/,Right Cerebellum,386,0.708
146,RPRNr,Right Pontine reticular nucleus,1117,/997/8/343/1065/771/1117/146/,Right Pons,360,0.789
928,RCUL,Right Culmen,645,/997/8/512/528/645/928/,Right Cerebellum,356,2.156
679,RCS,Right Superior central nucleus raphe,1117,/997/8/343/1065/771/1117/679/,Right Pons,346,0.256
898,RPCG,Right Pontine central gray,987,/997/8/343/1065/771/987/898/,Right Pons,339,0.23
1097,RHY,Right Hypothalamus,1129,/997/8/343/1129/1097/,Right Hypothalamus,339,1.199
728,Rarb,Right arbor vitae,960,/997/1009/960/728/,Right fiber tracts,336,2.093
920,RCENT,Right Central lobule,645,/997/8/512/528/645/920/,Right Cerebellum,330,1.417
669,RVIS,Right Visual areas,315,/997/8/567/688/695/315/669/,Right Cerebral cortex,310,3.813
924,Rcpd,Right cerebal peduncle,784,/997/1009/983/784/924/,Right fiber tracts,297,0.297
961,RPIR,Right Piriform area,698,/997/8/567/688/695/698/961/,Right Cerebral cortex,285,4.339
1007,RSIM,Right Simple lobule,1073,/997/8/512/528/1073/1007/,Right Cerebellum,280,1.714
1016,Ronl,Right olfactory nerve layer of main olfactory bulb,840,/997/1009/967/840/1016/,Right fiber tracts,248,1.524
951,RPYR,Right Pyramus (VIII),645,/997/8/512/528/645/951/,Right Cerebellum,245,0.355
477,RSTR,Right Striatum,623,/997/8/567/623/477/,Right Cerebral nuclei,202,0.813
944,RFOTU,Right Folium-tuber vermis (VII),645,/997/8/512/528/645/944/,Right Cerebellum,202,0.304
10,RSCig,Right Superior colliculus motor related intermediate gray layer,294,/997/8/343/313/323/294/10/,Right Midbrain,197,0.635
206,RRM,Right Nucleus raphe magnus,379,/997/8/343/1065/354/379/206/,Right Medulla,197,0.07
151,RAOB,Right Accessory olfactory bulb,698,/997/8/567/688/695/698/151/,Right Cerebral cortex,193,0.247
872,RDR,Right Dorsal nucleus raphe,165,/997/8/343/313/348/165/872/,Right Midbrain,190,0.053
83,RIO,Right Inferior olivary complex,370,/997/8/343/1065/354/370/83/,Right Medulla,188,0.247
1080,RHIP,Right Hippocampal region,1089,/997/8/567/688/695/1089/1080/,Right Cerebral cortex,177,6.373
56,RACB,Right Nucleus accumbens,493,/997/8/567/623/477/493/56/,Right Cerebral nuclei,177,1.452
4,RIC,Right Inferior colliculus,339,/997/8/343/313/339/4/,Right Midbrain,169,1.793
