LabelID,LabelAbrv,LabelName,ParentID,IDPath,Count,Volume(mm^3)
140,RAQ,Right cerebral aqueduct,73.0,/997/73/140/,3.0,0.136
658,Rll,Right lateral lemniscus,948.0,/997/1009/967/933/948/658/,2.0,0.381
398,RSOC,Right Superior olivary complex,1132.0,/997/8/343/1065/771/1132/398/,2.0,0.078
776,Rcc,Right corpus callosum,983.0,/997/1009/983/776/,2.0,4.634
771,RP,Right Pons,1065.0,/997/8/343/1065/771/,2.0,2.423
1016,Ronl,Right olfactory nerve layer of main olfactory bulb,840.0,/997/1009/967/840/1016/,2.0,1.906
159,RAON,Right Anterior olfactory nucleus,698.0,/997/8/567/688/695/698/159/,1.0,1.562
242,RLS,Right Lateral septal nucleus,275.0,/997/8/567/623/477/275/242/,1.0,0.833
972,RPL,Right Prelimbic area,315.0,/997/8/567/688/695/315/972/,1.0,0.093
938,RPGRN,Right Paragigantocellular reticular nucleus,370.0,/997/8/343/1065/354/370/938/,1.0,0.066
931,RPG,Right Pontine gray,987.0,/997/8/343/1065/771/987/931/,1.0,0.365
928,RCUL,Right Culmen,645.0,/997/8/512/528/645/928/,1.0,2.574
924,Rcpd,Right cerebal peduncle,784.0,/997/1009/983/784/924/,1.0,0.353
920,RCENT,Right Central lobule,645.0,/997/8/512/528/645/920/,1.0,1.363
822,RRHP,Right Retrohippocampal region,1089.0,/997/8/567/688/695/1089/822/,1.0,0.287
795,RPAG,Right Periaqueductal gray,323.0,/997/8/343/313/323/795/,1.0,1.328
100,RIPN,Right Interpeduncular nucleus,165.0,/997/8/343/313/348/165/100/,1.0,0.186
146,RPRNr,Right Pontine reticular nucleus,1117.0,/997/8/343/1065/771/1117/146/,1.0,1.074
698,ROLF,Right Olfactory areas,695.0,/997/8/567/688/695/698/,1.0,1.474
83,RIO,Right Inferior olivary complex,370.0,/997/8/343/1065/354/370/83/,1.0,0.234
603,Rfi,Right fimbria,1099.0,/997/1009/991/768/1099/603/,1.0,0.567
507,RMOB,Right Main olfactory bulb,698.0,/997/8/567/688/695/698/507/,1.0,7.512
153,RV4r,Right lateral recess,145.0,/997/73/145/153/,1.0,0.305
354,RMY,Right Medulla,1065.0,/997/8/343/1065/354/,1.0,3.778
254,RRSP,Right Retrosplenial area,315.0,/997/8/567/688/695/315/254/,1.0,0.545
62,Rmlf,Right medial longitudinal fascicle,832.0,/997/1009/967/832/62/,1.0,0.424
