LabelID,LabelAbrv,LabelName,ParentID,IDPath,RegionalName,Count,Volume(mm^3)
453,RSS,Right Somatosensory areas,315.0,/997/8/567/688/695/315/453/,Right Cerebral cortex,9288.0,9.96
500,RMO,Right Somatomotor areas,315.0,/997/8/567/688/695/315/500/,Right Cerebral cortex,8793.0,10.119000000000002
1017,RAN,Right Ansiform lobule,1073.0,/997/8/512/528/1073/1017/,Right Cerebellum,6266.0,3.739
507,RMOB,Right Main olfactory bulb,698.0,/997/8/567/688/695/698/507/,Right Cerebral cortex,5169.0,6.265
672,RCP,Right Caudoputamen,485.0,/997/8/567/623/477/485/672/,Right Cerebral nuclei,4207.0,10.863
961,RPIR,Right Piriform area,698.0,/997/8/567/688/695/698/961/,Right Cerebral cortex,3713.0,4.565
31,RACA,Right Anterior cingulate area,315.0,/997/8/567/688/695/315/31/,Right Cerebral cortex,3626.0,2.012
822,RRHP,Right Retrohippocampal region,1089.0,/997/8/567/688/695/1089/822/,Right Cerebral cortex,3462.0,5.9479999999999995
728,Rarb,Right arbor vitae,960.0,/997/1009/960/728/,Right fiber tracts,3037.0,2.125
1025,RPRM,Right Paramedian lobule,1073.0,/997/8/512/528/1073/1025/,Right Cerebellum,2926.0,1.597
776,Rcc,Right corpus callosum,983.0,/997/1009/983/776/,Right fiber tracts,2868.0,3.712
669,RVIS,Right Visual areas,315.0,/997/8/567/688/695/315/669/,Right Cerebral cortex,2840.0,3.6839999999999997
1041,RPFL,Right Paraflocculus,1073.0,/997/8/512/528/1073/1041/,Right Cerebellum,2833.0,1.759
254,RRSP,Right Retrosplenial area,315.0,/997/8/567/688/695/315/254/,Right Cerebral cortex,2809.0,3.4619999999999997
1007,RSIM,Right Simple lobule,1073.0,/997/8/512/528/1073/1007/,Right Cerebellum,2284.0,1.797
354,RMY,Right Medulla,1065.0,/997/8/343/1065/354/,Right Medulla,2214.0,3.124
928,RCUL,Right Culmen,645.0,/997/8/512/528/645/928/,Right Cerebellum,2207.0,2.277
771,RP,Right Pons,1065.0,/997/8/343/1065/771/,Right Pons,2041.0,1.916
1080,RHIP,Right Hippocampal region,1089.0,/997/8/567/688/695/1089/1080/,Right Cerebral cortex,1914.0,6.949
153,RV4r,Right lateral recess,145.0,/997/73/145/153/,Right ventricular systems,1881.0,0.273
936,RDEC,Right Declive (VI),645.0,/997/8/512/528/645/936/,Right Cerebellum,1662.0,1.167
247,RAUD,Right Auditory areas,315.0,/997/8/567/688/695/315/247/,Right Cerebral cortex,1660.0,3.051
56,RACB,Right Nucleus accumbens,493.0,/997/8/567/623/477/493/56/,Right Cerebral nuclei,1634.0,1.566
795,RPAG,Right Periaqueductal gray,323.0,/997/8/343/313/323/795/,Right Midbrain,1570.0,1.433
159,RAON,Right Anterior olfactory nucleus,698.0,/997/8/567/688/695/698/159/,Right Cerebral cortex,1512.0,1.451
1009,Rfiber tracts,Right fiber tracts,997.0,/997/1009/,Right fiber tracts,1392.0,1.126
1033,RCOPY,Right Copula pyramidis,1073.0,/997/8/512/528/1073/1033/,Right Cerebellum,1388.0,0.761
95,RAI,Right Agranular insular area,315.0,/997/8/567/688/695/315/95/,Right Cerebral cortex,1370.0,2.2270000000000003
313,RMB,Right Midbrain,343.0,/997/8/343/313/,Right Midbrain,1248.0,1.745
1048,RGRN,Right Gigantocellular reticular nucleus,370.0,/997/8/343/1065/354/370/1048/,Right Medulla,1231.0,0.773
1016,Ronl,Right olfactory nerve layer of main olfactory bulb,840.0,/997/1009/967/840/1016/,Right fiber tracts,1208.0,1.558
972,RPL,Right Prelimbic area,315.0,/997/8/567/688/695/315/972/,Right Cerebral cortex,1192.0,0.701
951,RPYR,Right Pyramus (VIII),645.0,/997/8/512/528/645/951/,Right Cerebellum,1094.0,0.306
714,RORB,Right Orbital area,315.0,/997/8/567/688/695/315/714/,Right Cerebral cortex,1084.0,1.742
1097,RHY,Right Hypothalamus,1129.0,/997/8/343/1129/1097/,Right Hypothalamus,1079.0,1.22
