LabelID,LabelAbrv,LabelName,ParentID,IDPath,RegionalName,Mean,Min,Max,Count,Volume(mm^3)
14,Rim,Right internal medullary lamina of the thalamus,896.0,/997/1009/983/896/14/,Right fiber tracts,21.79394,16.39635,30.47166,25.0,0.0
637,RVENT,Right Ventral group of the dorsal thalamus,864.0,/997/8/343/1129/549/864/637/,Right Thalamus,20.529180081461444,7.09453,35.0,222191.0,1.44
1092,Rem,Right external medullary lamina of the thalamus,896.0,/997/1009/983/896/1092/,Right fiber tracts,20.42062,9.39635,35.0,3549.0,0.023
534,RSUT,Right Supratrigeminal nucleus,987.0,/997/8/343/1065/771/987/534/,Right Pons,20.10288,7.41497,35.0,8373.0,0.054
138,RLAT,Right Lateral group of the dorsal thalamus,856.0,/997/8/343/1129/549/856/138/,Right Thalamus,19.890562293349713,6.71695,35.0,128611.0,0.8340000000000001
1031,RGPi,Right Globus pallidus internal segment,818.0,/997/8/567/623/803/818/1031/,Right Cerebral nuclei,19.88853,7.28305,35.0,24057.0,0.156
262,RRT,Right Reticular nucleus of the thalamus,856.0,/997/8/343/1129/549/856/262/,Right Thalamus,19.85074,7.45289,35.0,78272.0,0.507
1022,RGPe,Right Globus pallidus external segment,818.0,/997/8/567/623/803/818/1022/,Right Cerebral nuclei,19.53812,6.30198,35.0,87032.0,0.564
1052,RPPN,Right Pedunculopontine nucleus,348.0,/997/8/343/313/348/1052/,Right Midbrain,19.52656,7.41497,35.0,26325.0,0.171
867,RPB,Right Parabrachial nucleus,1132.0,/997/8/343/1065/771/1132/867/,Right Pons,19.23358,7.62272,35.0,42784.0,0.277
215,RAPN,Right Anterior pretectal nucleus,1100.0,/997/8/343/313/323/1100/215/,Right Midbrain,19.12728,7.41497,35.0,59749.0,0.387
51,RILM,Right Intralaminar nuclei of the dorsal thalamus,856.0,/997/8/343/1129/549/856/51/,Right Thalamus,18.857801447821554,7.37758,35.0,63302.0,0.41
356,RPST,Right Preparasubthalamic nucleus,290.0,/997/8/343/1129/1097/290/356/,Right Hypothalamus,18.76422,9.00008,35.0,722.0,0.005
350,RSLC,Right Subceruleus nucleus,1117.0,/997/8/343/1065/771/1117/350/,Right Pons,18.7351,8.33944,34.60372,1659.0,0.011
609,RSPA,Right Subparafascicular area,864.0,/997/8/343/1129/549/864/609/,Right Thalamus,18.72263,8.30205,34.52842,3414.0,0.022
616,RCUN,Right Cuneiform nucleus,323.0,/997/8/343/313/323/616/,Right Midbrain,18.71986,6.94339,35.0,14746.0,0.096
214,RRN,Right Red nucleus,323.0,/997/8/343/313/323/214/,Right Midbrain,18.7077,7.03792,35.0,36314.0,0.235
549,RTH,Right Thalamus,1129.0,/997/8/343/1129/549/,Right Thalamus,18.60813,4.28321,35.0,237875.0,1.541
797,RZI,Right Zona incerta,290.0,/997/8/343/1129/1097/290/797/,Right Hypothalamus,18.52394225282833,6.39597,35.0,83353.0,0.54
1008,RGENd,Right Geniculate group dorsal thalamus,864.0,/997/8/343/1129/549/864/1008/,Right Thalamus,18.50708920292343,6.22667,35.0,61161.0,0.397
6,Rint,Right internal capsule,784.0,/997/1009/983/784/6/,Right fiber tracts,18.49275,4.66026,35.0,133683.0,0.866
239,RATN,Right Anterior group of the dorsal thalamus,856.0,/997/8/343/1129/549/856/239/,Right Thalamus,18.440029603816377,6.39597,35.0,104497.0,0.677
326,Rscp,Right superior cerebelar peduncles,752.0,/997/1009/960/752/326/,Right fiber tracts,18.43248,6.4905,35.0,22670.0,0.147
621,RV,Right Motor nucleus of trigeminal,987.0,/997/8/343/1065/771/987/621/,Right Pons,18.36451,6.00023,35.0,21302.0,0.138
444,RMED,Right Medial group of the dorsal thalamus,856.0,/997/8/343/1129/549/856/444/,Right Thalamus,18.299694064075695,6.28328,35.0,83495.0,0.5409999999999999
246,RRR,Right Midbrain reticular nucleus retrorubral area,323.0,/997/8/343/313/323/246/,Right Midbrain,18.26274,7.11322,35.0,25307.0,0.164
470,RSTN,Right Subthalamic nucleus,290.0,/997/8/343/1129/1097/290/470/,Right Hypothalamus,18.26247,6.00023,35.0,11169.0,0.072
679,RCS,Right Superior central nucleus raphe,1117.0,/997/8/343/1065/771/1117/679/,Right Pons,18.2224,4.3019,35.0,49076.0,0.318
998,RFS,Right Fundus of striatum,493.0,/997/8/567/623/477/493/998/,Right Cerebral nuclei,18.21912,7.22644,34.96208,21566.0,0.14
106,RISN,Right Inferior salivatory nucleus,370.0,/997/8/343/1065/354/370/106/,Right Medulla,18.20974,9.99985,34.9247,389.0,0.003
128,RMRN,Right Midbrain reticular nucleus,323.0,/997/8/343/313/323/128/,Right Midbrain,18.11042,6.33936,35.0,271265.0,1.758
406,RSPF,Right Subparafascicular nucleus,864.0,/997/8/343/1129/549/864/406/,Right Thalamus,18.097173423340962,7.45289,35.0,19665.0,0.128
908,Ract,Right anterior commissure temporal limb,768.0,/997/1009/991/768/908/,Right fiber tracts,18.05025,6.45258,35.0,11702.0,0.076
147,RLC,Right Locus ceruleus,1117.0,/997/8/343/1065/771/1117/147/,Right Pons,18.01299,10.37743,32.11337,835.0,0.005
