,LabelID,LabelAbrv,LabelName,ParentID,IDPath,RegionalName,Count,Volume(mm^3),group,subject_id,group_subject,Mean,Density (#of cells/mm3),Normalized Density (#of cells/mm3),Normalized Intensity
0,23,AAA,Right Anterior amygdalar area,278.0,/997/8/567/623/477/278/23/,Right Cerebral nuclei,1.0,0.24,pargyline,04,pargyline_04,87.50364,4.166666666666667,0.0102710583594901,0.9569740604461104
1,31,ACA,Right Anterior cingulate area,315.0,/997/8/567/688/695/315/31/,Right Cerebral cortex,70.0,1.97,pargyline,04,pargyline_04,68.27923903030354,35.53299492385787,0.08759075149209831,0.7467284860264113
2,56,ACB,Right Nucleus accumbens,493.0,/997/8/567/623/477/493/56/,Right Cerebral nuclei,97.0,1.635,pargyline,04,pargyline_04,114.03107,59.32721712538226,0.146244794256226,1.2470884191207892
3,88,AHN,Right Anterior hypothalamic nucleus,467.0,/997/8/343/1129/1097/467/88/,Right Hypothalamus,1.0,0.249,pargyline,04,pargyline_04,102.6174,4.016064257028113,0.009899815286255519,1.122264056105811
4,95,AI,Right Agranular insular area,315.0,/997/8/567/688/695/315/95/,Right Cerebral cortex,28.0,2.195,pargyline,04,pargyline_04,72.83002273509648,12.756264236902052,0.03144488026231138,0.7964976380318328
5,135,AMB,Right Nucleus ambiguus,370.0,/997/8/343/1065/354/370/135/,Right Medulla,42.0,0.008,pargyline,04,pargyline_04,110.47635,5250.0,12.941533532957527,1.2082126097013295
6,1017,AN,Right Ansiform lobule,1073.0,/997/8/512/528/1073/1017/,Right Cerebellum,643.0,3.818,pargyline,04,pargyline_04,62.21955,168.41278156102672,0.4151466018953673,0.6804573547183841
7,151,AOB,Right Accessory olfactory bulb,698.0,/997/8/567/688/695/698/151/,Right Cerebral cortex,21.0,0.165,pargyline,04,pargyline_04,37.55413021686557,127.27272727272727,0.31373414625351576,0.4107066686615073
8,159,AON,Right Anterior olfactory nucleus,698.0,/997/8/567/688/695/698/159/,Right Cerebral cortex,152.0,1.396,pargyline,04,pargyline_04,64.26078,108.88252148997135,0.26840129581246336,0.7027810450403458
9,140,AQ,Right cerebral aqueduct,73.0,/997/73/140/,Right ventricular systems,66.0,0.19,pargyline,04,pargyline_04,48.49831,347.36842105263156,0.856281917970122,0.5303965028823281
10,231,AT,Right Anterior tegmental nucleus,323.0,/997/8/343/313/323/231/,Right Midbrain,12.0,0.005,pargyline,04,pargyline_04,120.7243,2400.0,5.916129615066297,1.3202882024737985
11,239,ATN,Right Anterior group of the dorsal thalamus,856.0,/997/8/343/1129/549/856/239/,Right Thalamus,32.0,0.491,pargyline,04,pargyline_04,134.7141032316438,65.17311608961303,0.16065525091829727,1.4732861669405142
